reference_id,commandment_concept,scripture_english
LEV 11:43,Do not eat creatures that live in water other than kosher fish ,'Do not render yourselves detestable through any of the swarming things that swarm; and you shall not make yourselves unclean with them so that you become unclean.
DEU 14:21,Do not eat of an animal that dies of natural causes,"""You shall not eat anything which dies of itself. You may give it to the alien who is in your town, so that he may eat it, or you may sell it to a foreigner, for you are a holy people to the LORD your God. You shall not boil a young goat in its mother's milk."
EXO 21:28,Do not benefit from an ox condemned to be stoned ,"""If an ox gores a man or a woman to death, the ox shall surely be stoned and its flesh shall not be eaten; but the owner of the ox shall go unpunished."
EXO 22:31,Do not eat meat of an animal that was mortally wounded ,"""You shall be holy men to Me, therefore you shall not eat any flesh torn to pieces in the field; you shall throw it to the dogs."
DEU 12:23,Do not eat meat torn off a living creature,"""Only be sure not to eat the blood, for the blood is the life, and you shall not eat the life with the flesh."
LEV 3:17,Do not eat blood ,"'It is a perpetual statute throughout your generations in all your dwellings: you shall not eat any fat or any blood.'"""
LEV 3:17,Do not eat certain fats of clean animals,"'It is a perpetual statute throughout your generations in all your dwellings: you shall not eat any fat or any blood.'"""
GEN 32:32,Do not eat the sinew of the thigh ,"Therefore, to this day the sons of Israel do not eat the sinew of the hip which is on the socket of the thigh, because he touched the socket of Jacob's thigh in the sinew of the hip."
EXO 23:19,Do not eat meat and milk cooked together ,"""You shall bring the choice first fruits of your soil into the house of the LORD your God. ""You are not to boil a young goat in the milk of its mother."
EXO 34:26,Do not cook meat and milk together ,"""You shall bring the very first of the first fruits of your soil into the house of the LORD your God. ""You shall not boil a young goat in its mother's milk."""
LEV 23:14,Do not eat bread from new grain before the Omer ,"'Until this same day, until you have brought in the offering of your God, you shall eat neither bread nor roasted grain nor new growth. It is to be a perpetual statute throughout your generations in all your dwelling places."
LEV 23:14,Do not eat parched grains from new grain before the Omer ,"'Until this same day, until you have brought in the offering of your God, you shall eat neither bread nor roasted grain nor new growth. It is to be a perpetual statute throughout your generations in all your dwelling places."
LEV 23:14,Do not eat ripened grains from new grain before the Omer ,"'Until this same day, until you have brought in the offering of your God, you shall eat neither bread nor roasted grain nor new growth. It is to be a perpetual statute throughout your generations in all your dwelling places."
LEV 19:23,Do not eat fruit of a tree during its first three years ,"When you enter the land and plant all kinds of trees for food, then you shall count their fruit as forbidden. Three years it shall be forbidden to you; it shall not be eaten."
DEU 22:9,Do not eat diverse seeds planted in a vineyard ,"""You shall not sow your vineyard with two kinds of seed, or all the produce of the seed which you have sown and the increase of the vineyard will become defiled."
LEV 22:14,Do not eat untithed fruits ,"But if a man eats a holy gift unintentionally, then he shall add to it a fifth of it and shall give the holy gift to the priest."
DEU 32:38,Do not drink wine poured in service to idols ,"Who ate the fat of their sacrifices, And drank the wine of their drink offering? Let them rise up and help you, Let them be your hiding place!"
DEU 12:21,Ritually slaughter an animal before eating it ,"""If the place which the LORD your God chooses to put His name is too far from you, then you may slaughter of your herd and flock which the LORD has given you, as I have commanded you; and you may eat within your gates whatever you desire."
LEV 22:28,Do not slaughter an animal and its offspring on the same day ,"""But, whether it is an ox or a sheep, you shall not kill both it and its young in one day."
LEV 17:13,Cover the blood of a slaughtered beast or fowl with earth ,"""So when any man from the sons of Israel, or from the aliens who sojourn among them, in hunting catches a beast or a bird which may be eaten, he shall pour out its blood and cover it with earth."
DEU 22:6,Do not take a mother bird with its children ,"""If you happen to come upon a bird's nest along the way, in any tree or on the ground, with young ones or eggs, and the mother sitting on the young or on the eggs, you shall not take the mother with the young;"
DEU 22:7,Release a mother bird before taking her children from the nest,"you shall certainly let the mother go, but the young you may take for yourself, in order that it may be well with you and that you may prolong your days."
LEV 19:12,Do not swear falsely in G-d's Name ,"'You shall not swear falsely by My name, so as to profane the name of your God; I am the LORD."
EXO 20:7,Do not take G-d's Name in vain ,"""You shall not take the name of the LORD your God in vain, for the LORD will not leave him unpunished who takes His name in vain."
LEV 19:11,Do not deny possession of something entrusted to you ,"'You shall not steal, nor deal falsely, nor lie to one another."
LEV 19:11,Do not falsely swear in denial of a claim to property,"'You shall not steal, nor deal falsely, nor lie to one another."
DEU 10:20,Swear in G-d's Name to confirm the truth when deemed necessary by court ,"""You shall fear the LORD your God; you shall serve Him and cling to Him, and you shall swear by His name."
DEU 23:23,Fulfill what you uttered and do what you vowed,"""You shall be careful to perform what goes out from your lips, just as you have voluntarily vowed to the LORD your God, what you have promised."
NUM 30:2,Do not break oaths or vows,"""If a man makes a vow to the LORD, or takes an oath to bind himself with a binding obligation, he shall not violate his word; he shall do according to all that proceeds out of his mouth."
NUM 30:3,"For oaths and vows annulled, there are the laws of annulling vows explicit in the Law ","""Also if a woman makes a vow to the LORD, and binds herself by an obligation in her father's house in her youth,"
NUM 6:5,The nazarite must let his hair grow ,'All the days of his vow of separation no razor shall pass over his head. He shall be holy until the days are fulfilled for which he separated himself to the LORD; he shall let the locks of hair on his head grow long.
NUM 6:5,The nazarite must not cut his hair ,'All the days of his vow of separation no razor shall pass over his head. He shall be holy until the days are fulfilled for which he separated himself to the LORD; he shall let the locks of hair on his head grow long.
NUM 6:3,"The nazarite must not drink wine, wine mixtures, or wine vinegar ","he shall abstain from wine and strong drink; he shall drink no vinegar, whether made from wine or strong drink, nor shall he drink any grape juice nor eat fresh or dried grapes."
NUM 6:3,The nazarite must not eat fresh grapes ,"he shall abstain from wine and strong drink; he shall drink no vinegar, whether made from wine or strong drink, nor shall he drink any grape juice nor eat fresh or dried grapes."
NUM 6:3,The nazarite must not eat raisins ,"he shall abstain from wine and strong drink; he shall drink no vinegar, whether made from wine or strong drink, nor shall he drink any grape juice nor eat fresh or dried grapes."
NUM 6:4,The nazarite must not eat grape seeds ,"All the days of his separation he shall not eat anything that is produced by the grape vine, from the seeds even to the skin."
NUM 6:4,The nazarite must not eat grape skins ,"All the days of his separation he shall not eat anything that is produced by the grape vine, from the seeds even to the skin."
NUM 6:6,The nazarite must not be under the same roof as a corpse ,'All the days of his separation to the LORD he shall not go near to a dead person.
NUM 6:7,The nazarite must not come into contact with the dead ,"'He shall not make himself unclean for his father or for his mother, for his brother or for his sister, when they die, because his separation to God is on his head."
NUM 6:9,The nazarite must shave his head after bringing sacrifices upon completion of his nazarite period,"But if a man dies very suddenly beside him and he defiles his dedicated head of hair, then he shall shave his head on the day when he becomes clean; he shall shave it on the seventh day."
LEV 27:2,Estimate the value of people as determined by the Law,"""Speak to the sons of Israel and say to them, 'When a man makes a difficult vow, he shall be valued according to your valuation of persons belonging to the LORD."
LEV 27:12,Estimate the value of consecrated animals,"'The priest shall value it as either good or bad; as you, the priest, value it, so it shall be."
LEV 27:14,Estimate the value of consecrated houses ,"'Now if a man consecrates his house as holy to the LORD, then the priest shall value it as either good or bad; as the priest values it, so it shall stand."
LEV 27:16,Estimate the value of consecrated fields ,"'Again, if a man consecrates to the LORD part of the fields of his own property, then your valuation shall be proportionate to the seed needed for it: a homer of barley seed at fifty shekels of silver."
LEV 27:28,Carry out the laws of interdicting possessions,"'Nevertheless, anything which a man sets apart to the LORD out of all that he has, of man or animal or of the fields of his own property, shall not be sold or redeemed. Anything devoted to destruction is most holy to the LORD."
LEV 27:28,Do not sell interdicted possessions ,"'Nevertheless, anything which a man sets apart to the LORD out of all that he has, of man or animal or of the fields of his own property, shall not be sold or redeemed. Anything devoted to destruction is most holy to the LORD."
LEV 27:28,Do not redeem interdicted possessions,"'Nevertheless, anything which a man sets apart to the LORD out of all that he has, of man or animal or of the fields of his own property, shall not be sold or redeemed. Anything devoted to destruction is most holy to the LORD."
LEV 19:19,Do not plant diverse seeds together ,"'You are to keep My statutes. You shall not breed together two kinds of your cattle; you shall not sow your field with two kinds of seed, nor wear a garment upon you of two kinds of material mixed together."
DEU 22:9,Do not plant grains or greens in a vineyard ,"""You shall not sow your vineyard with two kinds of seed, or all the produce of the seed which you have sown and the increase of the vineyard will become defiled."
LEV 19:19,Do not crossbreed animals ,"'You are to keep My statutes. You shall not breed together two kinds of your cattle; you shall not sow your field with two kinds of seed, nor wear a garment upon you of two kinds of material mixed together."
DEU 22:10,Do not work different animals together ,"""You shall not plow with an ox and a donkey together."
DEU 22:11,Do not wear cloth woven of wool and linen,"""You shall not wear a material mixed of wool and linen together."
LEV 19:10,Leave a corner of the field uncut for the poor ,"'Nor shall you glean your vineyard, nor shall you gather the fallen fruit of your vineyard; you shall leave them for the needy and for the stranger. I am the LORD your God."
LEV 19:9,Do not reap the corner of a field left for the poor ,"'Now when you reap the harvest of your land, you shall not reap to the very corners of your field, nor shall you gather the gleanings of your harvest."
LEV 19:9,Leave gleanings of a field for the poor,"'Now when you reap the harvest of your land, you shall not reap to the very corners of your field, nor shall you gather the gleanings of your harvest."
LEV 19:9,Do not gather gleanings of a crop but leave them for the poor,"'Now when you reap the harvest of your land, you shall not reap to the very corners of your field, nor shall you gather the gleanings of your harvest."
LEV 19:10,Leave the gleanings of a vineyard for the poor,"'Nor shall you glean your vineyard, nor shall you gather the fallen fruit of your vineyard; you shall leave them for the needy and for the stranger. I am the LORD your God."
LEV 19:10,Do not gather the gleanings of a vineyard but leave them for the poor,"'Nor shall you glean your vineyard, nor shall you gather the fallen fruit of your vineyard; you shall leave them for the needy and for the stranger. I am the LORD your God."
LEV 19:10,Leave the unformed clusters of grapes for the poor,"'Nor shall you glean your vineyard, nor shall you gather the fallen fruit of your vineyard; you shall leave them for the needy and for the stranger. I am the LORD your God."
LEV 19:10,Do not pick the unformed clusters of grapes but leave them for the poor,"'Nor shall you glean your vineyard, nor shall you gather the fallen fruit of your vineyard; you shall leave them for the needy and for the stranger. I am the LORD your God."
DEU 24:19,Leave the forgotten sheaves in the field for the poor,"""When you reap your harvest in your field and have forgotten a sheaf in the field, you shall not go back to get it; it shall be for the alien, for the orphan, and for the widow, in order that the LORD your God may bless you in all the work of your hands."
DEU 24:19,Do not retrieve sheaves forgotten in the field but leave them for the poor,"""When you reap your harvest in your field and have forgotten a sheaf in the field, you shall not go back to get it; it shall be for the alien, for the orphan, and for the widow, in order that the LORD your God may bless you in all the work of your hands."
DEU 14:28,Separate the tithe for the poor,"""At the end of every third year you shall bring out all the tithe of your produce in that year, and shall deposit it in your town."
DEU 15:8,Give charity to those in need,"but you shall freely open your hand to him, and shall generously lend him sufficient for his need in whatever he lacks."
DEU 15:7,Do not withhold charity from the poor,"""If there is a poor man with you, one of your brothers, in any of your towns in your land which the LORD your God is giving you, you shall not harden your heart, nor close your hand from your poor brother;"
DEU 18:4,Set aside a gift of food for the priest,"""You shall give him the first fruits of your grain, your new wine, and your oil, and the first shearing of your sheep."
NUM 18:26,The Levite must set aside a tenth of his tithe for the priest,"""Moreover, you shall speak to the Levites and say to them, 'When you take from the sons of Israel the tithe which I have given you from them for your inheritance, then you shall present an offering from it to the LORD, a tithe of the tithe."
EXO 22:29,"Do not preface one tithe to the next, but separate them in their proper order ","""You shall not delay the offering from your harvest and your vintage. The firstborn of your sons you shall give to Me."
LEV 22:10,A non- priest must not eat food set aside as a gift for the priest,"No layman, however, is to eat the holy gift; a sojourner with the priest or a hired man shall not eat of the holy gift."
LEV 22:10,A hired worker or an Israelite bondsman of a priest must not eat food set aside as a gift for the priest,"No layman, however, is to eat the holy gift; a sojourner with the priest or a hired man shall not eat of the holy gift."
EXO 12:48,An uncircumcised priest must not eat food set aside for a priest,"""But if a stranger sojourns with you, and celebrates the Passover to the LORD, let all his males be circumcised, and then let him come near to celebrate it; and he shall be like a native of the land. But no uncircumcised person may eat of it."
LEV 22:4,An impure priest must not eat food set aside for a priest ,"No man of the descendants of Aaron, who is a leper or who has a discharge, may eat of the holy gifts until he is clean. And if one touches anything made unclean by a corpse or if a man has a seminal emission,"
LEV 22:12,A desecrated woman must not eat food set aside for a priest ,"If a priest's daughter is married to a layman, she shall not eat of the offering of the gifts."
NUM 18:24,Set aside a tithe each planting year and give it to a Levite,"""For the tithe of the sons of Israel, which they offer as an offering to the LORD, I have given to the Levites for an inheritance; therefore I have said concerning them, 'They shall have no inheritance among the sons of Israel.'"""
DEU 14:22,Set aside the second tithe,"""You shall surely tithe all the produce from what you sow, which comes out of the field every year."
DEU 26:14,"Do not spend the money from selling the second tithe on anything but food, drink, or ointment in Jerusalem","'I have not eaten of it while mourning, nor have I removed any of it while I was unclean, nor offered any of it to the dead. I have listened to the voice of the LORD my God; I have done according to all that You have commanded me."
DEU 26:14,Do not eat the second tithe while impure,"'I have not eaten of it while mourning, nor have I removed any of it while I was unclean, nor offered any of it to the dead. I have listened to the voice of the LORD my God; I have done according to all that You have commanded me."
DEU 26:14,A mourner on the first day after a death must not eat the second tithe,"'I have not eaten of it while mourning, nor have I removed any of it while I was unclean, nor offered any of it to the dead. I have listened to the voice of the LORD my God; I have done according to all that You have commanded me."
DEU 12:17,Do not eat second tithe grains outside Jerusalem ,"""You are not allowed to eat within your gates the tithe of your grain or new wine or oil, or the firstborn of your herd or flock, or any of your votive offerings which you vow, or your freewill offerings, or the contribution of your hand."
DEU 12:17,Do not eat second tithe wine products outside Jerusalem ,"""You are not allowed to eat within your gates the tithe of your grain or new wine or oil, or the firstborn of your herd or flock, or any of your votive offerings which you vow, or your freewill offerings, or the contribution of your hand."
DEU 12:17,Do not eat second tithe oil outside Jerusalem ,"""You are not allowed to eat within your gates the tithe of your grain or new wine or oil, or the firstborn of your herd or flock, or any of your votive offerings which you vow, or your freewill offerings, or the contribution of your hand."
LEV 19:24,The fourth year crops must be totally for holy purposes like the second tithe,"'But in the fourth year all its fruit shall be holy, an offering of praise to the LORD."
DEU 26:13,Read the confession of tithes every fourth and seventh year ,"""You shall say before the LORD your God, 'I have removed the sacred portion from my house, and also have given it to the Levite and the alien, the orphan and the widow, according to all Your commandments which You have commanded me; I have not transgressed or forgotten any of Your commandments."
EXO 23:19,Set aside the first fruits and bring them to the Temple ,"""You shall bring the choice first fruits of your soil into the house of the LORD your God.""You are not to boil a young goat in the milk of its mother."
DEU 12:17,The priests must not eat the first fruits outside Jerusalem ,"""You are not allowed to eat within your gates the tithe of your grain or new wine or oil, or the firstborn of your herd or flock, or any of your votive offerings which you vow, or your freewill offerings, or the contribution of your hand."
DEU 26:5,Read the portion of Scripture pertaining to the presentation of first fruits ,"""You shall answer and say before the LORD your God, 'My father was a wandering Aramean, and he went down to Egypt and sojourned there, few in number; but there he became a great, mighty and populous nation."
NUM 15:20,Set aside a portion of dough for a priest ,"'Of the first of your dough you shall lift up a cake as an offering; as the offering of the threshing floor, so you shall lift it up."
DEU 18:3,"Give the shoulder, two cheeks, and stomach of a slaughtered animals to a priest ","""Now this shall be the priests' due from the people, from those who offer a sacrifice, either an ox or a sheep, of which they shall give to the priest the shoulder and the two cheeks and the stomach."
DEU 18:4,Give the first shearing of sheep to a priest ,"""You shall give him the first fruits of your grain, your new wine, and your oil, and the first shearing of your sheep."
NUM 18:15,Redeem firstborn sons and give the money to a priest ,"""Every first issue of the womb of all flesh, whether man or animal, which they offer to the LORD, shall be yours; nevertheless the firstborn of man you shall surely redeem, and the firstborn of unclean animals you shall redeem."
EXO 13:13,Redeem the firstborn donkey by giving a lamb to a priest ,"""But every first offspring of a donkey you shall redeem with a lamb, but if you do not redeem it, then you shall break its neck; and every firstborn of man among your sons you shall redeem."
EXO 13:13,Break the neck of the donkey if the owner does not intend to redeem it ,"""But every first offspring of a donkey you shall redeem with a lamb, but if you do not redeem it, then you shall break its neck; and every firstborn of man among your sons you shall redeem."
EXO 34:21,The land shall rest unworked during the seventh year,"""You shall work six days, but on the seventh day you shall rest; even during plowing time and harvest you shall rest."
LEV 25:4,Do not work the land during the seventh year,"but during the seventh year the land shall have a sabbath rest, a sabbath to the LORD; you shall not sow your field nor prune your vineyard."
LEV 25:4,Do not work with trees to produce fruit during the seventh year ,"but during the seventh year the land shall have a sabbath rest, a sabbath to the LORD; you shall not sow your field nor prune your vineyard."
LEV 25:5,Do not reap crops that grow wild during the seventh year in the normal manner ,"'Your harvest's aftergrowth you shall not reap, and your grapes of untrimmed vines you shall not gather; the land shall have a sabbatical year."
LEV 25:5,Do not gather grapes which grow wild during the seventh year in the normal way ,"'Your harvest's aftergrowth you shall not reap, and your grapes of untrimmed vines you shall not gather; the land shall have a sabbatical year."
EXO 23:11,Leave free all produce which grew in the seventh year ,"but on the seventh year you shall let it rest and lie fallow, so that the needy of your people may eat; and whatever they leave the beast of the field may eat. You are to do the same with your vineyard and your olive grove."
DEU 15:2,Release all loans during the seventh year ,"""This is the manner of remission: every creditor shall release what he has loaned to his neighbor; he shall not exact it of his neighbor and his brother, because the LORD'S remission has been proclaimed."
DEU 15:2,Do not pressure or claim from the borrower during the seventh year ,"""This is the manner of remission: every creditor shall release what he has loaned to his neighbor; he shall not exact it of his neighbor and his brother, because the LORD'S remission has been proclaimed."
DEU 15:9,Do not refrain from lending immediately before the release of the loans for fear of monetary loss ,"""Beware that there is no base thought in your heart, saying, 'The seventh year, the year of remission, is near,' and your eye is hostile toward your poor brother, and you give him nothing; then he may cry to the LORD against you, and it will be a sin in you."
LEV 25:8,The Sanhedrin must count seven groups of seven years ,"You are also to count off seven sabbaths of years for yourself, seven times seven years, so that you have the time of the seven sabbaths of years, namely, forty-nine years."
LEV 25:10,The Sanhedrin must sanctify the fiftieth year ,"'You shall thus consecrate the fiftieth year and proclaim a release through the land to all its inhabitants. It shall be a jubilee for you, and each of you shall return to his own property, and each of you shall return to his family."
LEV 25:9,Blow the ram's horn on the tenth day of the seventh month to free the slaves ,'You shall then sound a ram's horn abroad on the tenth day of the seventh month; on the day of atonement you shall sound a horn all through your land.
LEV 25:11,Do not work the soil during the fiftieth year,"You shall have the fiftieth year as a jubilee; you shall not sow, nor reap its aftergrowth, nor gather in from its untrimmed vines."
LEV 25:11,Do not reap in the normal manner that which grows wild in the fiftieth year ,"You shall have the fiftieth year as a jubilee; you shall not sow, nor reap its aftergrowth, nor gather in from its untrimmed vines."
LEV 25:11,Do not pick grapes which grew wild in the normal manner in the fiftieth year ,"You shall have the fiftieth year as a jubilee; you shall not sow, nor reap its aftergrowth, nor gather in from its untrimmed vines."
LEV 25:24,Carry out the laws of sold family properties in the fiftieth year ,"'Thus for every piece of your property, you are to provide for the redemption of the land."
LEV 25:23,Do not sell the land in Israel indefinitely ,"The land, moreover, shall not be sold permanently, for the land is Mine; for you are but aliens and sojourners with Me."
LEV 25:29,Carry out the laws of houses in walled cities ,"'Likewise, if a man sells a dwelling house in a walled city, then his redemption right remains valid until a full year from its sale; his right of redemption lasts a full year."
DEU 18:1,The Tribe of Levi must not be given a portion of the land in Israel,"""The Levitical priests, the whole tribe of Levi, shall have no portion or inheritance with Israel; they shall eat the LORD'S offerings by fire and His portion."
DEU 18:1,The Levites must not take a share in the spoils of war ,"""The Levitical priests, the whole tribe of Levi, shall have no portion or inheritance with Israel; they shall eat the LORD'S offerings by fire and His portion."
NUM 35:2,Give the Levites cities to inhabit and their surrounding fields ,"""Command the sons of Israel that they give to the Levites from the inheritance of their possession cities to live in; and you shall give to the Levites pasture lands around the cities."
LEV 25:34,Do not sell the fields of the Levites but they shall belong to Levites before and after the Jubilee year ,"'But pasture fields of their cities shall not be sold, for that is their perpetual possession."
EXO 25:8,Build a Sanctuary (Tabernacle-Temple) ,"""Let them construct a sanctuary for Me, that I may dwell among them."
EXO 20:25,Do not build the altar with stones hewn by metal ,"'If you make an altar of stone for Me, you shall not build it of cut stones, for if you wield your tool on it, you will profane it."
EXO 20:26,Do not climb steps to the altar ,"'And you shall not go up by steps to My altar, so that your nakedness will not be exposed on it.'"
LEV 19:30,Show reverence to the Temple ,'You shall keep My sabbaths and revere My sanctuary; I am the LORD.
NUM 18:2,Guard the Temple area ,"""But bring with you also your brothers, the tribe of Levi, the tribe of your father, that they may be joined with you and serve you, while you and your sons with you are before the tent of the testimony."
NUM 18:5,Do not leave the Temple unguarded ,"""So you shall attend to the obligations of the sanctuary and the obligations of the altar, so that there will no longer be wrath on the sons of Israel."
EXO 30:31,Prepare the anointing oil ,"""You shall speak to the sons of Israel, saying, 'This shall be a holy anointing oil to Me throughout your generations."
EXO 30:32,Do not reproduce the anointing oil ,"It shall not be poured on anyone's body, nor shall you make any like it in the same proportions; it is holy, and it shall be holy to you."
EXO 30:32,Do not anoint a foreigner with anointing oil ,"It shall not be poured on anyone's body, nor shall you make any like it in the same proportions; it is holy, and it shall be holy to you."
EXO 30:37,Do not reproduce the incense formula ,"""The incense which you shall make, you shall not make in the same proportions for yourselves; it shall be holy to you for the LORD."
EXO 30:9,Do not burn anything on the Golden Altar besides incense ,"""You shall not offer any strange incense on this altar, or burnt offering or meal offering; and you shall not pour out a drink offering on it."
NUM 7:9,The Levites must transport the ark on their shoulders ,"But he did not give any to the sons of Kohath because theirs was the service of the holy objects, which they carried on the shoulder."
EXO 25:15,Do not remove the staves from the ark ,"""The poles shall remain in the rings of the ark; they shall not be removed from it."
NUM 18:23,The Levites must work in the Temple ,"""Only the Levites shall perform the service of the tent of meeting, and they shall bear their iniquity; it shall be a perpetual statute throughout your generations, and among the sons of Israel they shall have no inheritance."
NUM 18:3,No Levite must do the work of either another priest or another Levite,"""And they shall thus attend to your obligation and the obligation of all the tent, but they shall not come near to the furnishings of the sanctuary and the altar, or both they and you will die."
LEV 21:8,Dedicate the priest for service ,"'You shall consecrate him, therefore, for he offers the food of your God; he shall be holy to you; for I the LORD, who sanctifies you, am holy."
DEU 18:6,The work of the priests' shifts must be equal during holidays ,"""Now if a Levite comes from any of your towns throughout Israel where he resides, and comes whenever he desires to the place which the LORD chooses,"
EXO 28:2,The priests must wear their priestly garments during service ,"""You shall make holy garments for Aaron your brother, for glory and for beauty."
EXO 28:32,Do not tear the priestly garments ,"""There shall be an opening at its top in the middle of it; around its opening there shall be a binding of woven work, like the opening of a coat of mail, so that it will not be torn."
EXO 28:28,Do not loosen the breastplate from the ephod,"""They shall bind the breastpiece by its rings to the rings of the ephod with a blue cord, so that it will be on the skillfully woven band of the ephod, and that the breastpiece will not come loose from the ephod."
LEV 10:9,A priest must not enter the Temple intoxicated ,"""Do not drink wine or strong drink, neither you nor your sons with you, when you come into the tent of meeting, so that you will not die--it is a perpetual statute throughout your generations--"
LEV 10:6,A priest must not enter the Temple with his head uncovered ,"Then Moses said to Aaron and to his sons Eleazar and Ithamar, ""Do not uncover your heads nor tear your clothes, so that you will not die and that He will not become wrathful against all the congregation. But your kinsmen, the whole house of Israel, shall bewail the burning which the LORD has brought about."
LEV 10:6,A priest must not enter the Temple with torn clothes ,"Then Moses said to Aaron and to his sons Eleazar and Ithamar,""Do not uncover your heads nor tear your clothes, so that you will not die and that He will not become wrathful against all the congregation. But your kinsmen, the whole house of Israel, shall bewail the burning which the LORD has brought about."
LEV 16:2,A priest must not enter the sanctuary of the Temple indiscriminately ,"The LORD said to Moses: ""Tell your brother Aaron that he shall not enter at any time into the holy place inside the veil, before the mercy seat which is on the ark, or he will die; for I will appear in the cloud over the mercy seat."
LEV 10:7,A priest must not leave the Temple during service ,"""You shall not even go out from the doorway of the tent of meeting, or you will die; for the LORD'S anointing oil is upon you."" So they did according to the word of Moses."
NUM 5:2,Send the impure person from the Temple ,"""Command the sons of Israel that they send away from the camp every leper and everyone having a discharge and everyone who is unclean because of a dead person."
NUM 5:3,An impure person must not enter the Temple ,"""You shall send away both male and female; you shall send them outside the camp so that they will not defile their camp where I dwell in their midst."""
DEU 23:11,An impure person must not enter the Temple Mount area ,"""But it shall be when evening approaches, he shall bathe himself with water, and at sundown he may reenter the camp."
LEV 22:2,Impure priests must not do service in the Temple ,"""Tell Aaron and his sons to be careful with the holy gifts of the sons of Israel, which they dedicate to Me, so as not to profane My holy name; I am the LORD."
LEV 21:6,"An impure priest, following immersion, shall not serve until after sundown","'They shall be holy to their God and not profane the name of their God, for they present the offerings by fire to the LORD, the food of their God; so they shall be holy."
EXO 30:19,A priest must wash his hands and feet before service ,"""Aaron and his sons shall wash their hands and their feet from it;"
LEV 21:23,A priest with a physical blemish must not enter the sanctuary or approach the altar ,"only he shall not go in to the veil or come near the altar because he has a defect, so that he will not profane My sanctuaries. For I am the LORD who sanctifies them.'"""
LEV 21:17,A priest with a physical blemish must not serve ,"""Speak to Aaron, saying, 'No man of your offspring throughout their generations who has a defect shall approach to offer the food of his God."
LEV 21:17,A priest with a temporary blemish must not serve ,"""Speak to Aaron, saying, 'No man of your offspring throughout their generations who has a defect shall approach to offer the food of his God."
NUM 18:4,One who is not a priest must not serve ,"""They shall be joined with you and attend to the obligations of the tent of meeting, for all the service of the tent; but an outsider may not come near you."
LEV 22:21,Offer only unblemished animals ,"'When a man offers a sacrifice of peace offerings to the LORD to fulfill a special vow or for a freewill offering, of the herd or of the flock, it must be perfect to be accepted; there shall be no defect in it."
LEV 22:20,Do not dedicate a blemished animal for the altar ,"'Whatever has a defect, you shall not offer, for it will not be accepted for you."
LEV 22:22,Do not slaughter a blemished animal ,"Those that are blind or fractured or maimed or having a running sore or eczema or scabs, you shall not offer to the LORD, nor make of them an offering by fire on the altar to the LORD."
LEV 22:24,Do not sprinkle a blemished animal's blood ,"Also anything with its testicles bruised or crushed or torn or cut, you shall not offer to the LORD, or sacrifice in your land,"
LEV 22:22,Do not burn a blemished animal's fat ,"Those that are blind or fractured or maimed or having a running sore or eczema or scabs, you shall not offer to the LORD, nor make of them an offering by fire on the altar to the LORD."
DEU 17:1,Do not offer a temporarily blemished animal ,"""You shall not sacrifice to the LORD your God an ox or a sheep which has a blemish or any defect, for that is a detestable thing to the LORD your God."
LEV 22:25,Do not sacrifice blemished animals even if offered by those who are not part of the Covenant,"nor shall you accept any such from the hand of a foreigner for offering as the food of your God; for their corruption is in them, they have a defect, they shall not be accepted for you.'"""
LEV 22:21,Do not inflict wounds upon dedicated animals ,"'When a man offers a sacrifice of peace offerings to the LORD to fulfill a special vow or for a freewill offering, of the herd or of the flock, it must be perfect to be accepted; there shall be no defect in it."
DEU 12:15, To redeem dedicated animals which have become disqualified,"""However, you may slaughter and eat meat within any of your gates, whatever you desire, according to the blessing of the LORD your God which He has given you; the unclean and the clean may eat of it, as of the gazelle and the deer."
LEV 22:27,Offer only animals which are at least eight days old ,"""When an ox or a sheep or a goat is born, it shall remain seven days with its mother, and from the eighth day on it shall be accepted as a sacrifice of an offering by fire to the LORD."
DEU 23:18,Do not offer animals bought with the wages of a harlot or the wages of a dog,"""You shall not bring the hire of a harlot or the wages of a dog into the house of the LORD your God for any votive offering, for both of these are an abomination to the LORD your God."
LEV 2:11,Do not burn honey or yeast on the altar ,"'No grain offering, which you bring to the LORD, shall be made with leaven, for you shall not offer up in smoke any leaven or any honey as an offering by fire to the LORD."
LEV 2:13,Salt all sacrifices ,"'Every grain offering of yours, moreover, you shall season with salt, so that the salt of the covenant of your God shall not be lacking from your grain offering; with all your offerings you shall offer salt."
LEV 2:13,Do not omit the salt from sacrifices ,"'Every grain offering of yours, moreover, you shall season with salt, so that the salt of the covenant of your God shall not be lacking from your grain offering; with all your offerings you shall offer salt."
LEV 1:3,Carry out the procedure of the burnt offering as prescribed in the Law ,"'If his offering is a burnt offering from the herd, he shall offer it, a male without defect; he shall offer it at the doorway of the tent of meeting, that he may be accepted before the LORD."
DEU 12:17,Do not eat the meat of an offering away from the Temple ,"""You are not allowed to eat within your gates the tithe of your grain or new wine or oil, or the firstborn of your herd or flock, or any of your votive offerings which you vow, or your freewill offerings, or the contribution of your hand."
LEV 6:25,Carry out the procedure of the sin offering ,"""Speak to Aaron and to his sons, saying, 'This is the law of the sin offering: in the place where the burnt offering is slain the sin offering shall be slain before the LORD; it is most holy."
LEV 6:23,Do not eat the meat of the inner sin offering ,"""So every grain offering of the priest shall be burned entirely. It shall not be eaten."""
