reference_id,commandment_concept,scripture_english
LEV 19:31,Do not consult magicians or seers,'Do not turn to mediums or spiritists; do not seek them out to be defiled by them. I am the LORD your God.
LEV 18:21,Do not pass your children through the fire to Molech ,"'You shall not give any of your offspring to offer them to Molech, nor shall you profane the name of your God; I am the LORD."
DEU 16:22,Do not erect a pillar in a public place of worship ,"""You shall not set up for yourself a sacred pillar which the LORD your God hates."
LEV 26:1,Do not bow down on smooth stone ,"You shall not make for yourselves idols, nor shall you set up for yourselves an image or a sacred pillar, nor shall you place a figured stone in your land to bow down to it; for I am the LORD your God."
DEU 16:21,Do not plant a tree in the Temple courtyard,"""You shall not plant for yourself an Asherah of any kind of tree beside the altar of the LORD your God, which you shall make for yourself."
DEU 12:2,Destroy idols and their accessories ,"""You shall utterly destroy all the places where the nations whom you shall dispossess serve their gods, on the high mountains and on the hills and under every green tree."
DEU 7:26,Do not derive benefit from idols and their accessories ,"""You shall not bring an abomination into your house, and like it come under the ban; you shall utterly detest it and you shall utterly abhor it, for it is something banned."
DEU 7:25,Do not derive benefit from ornaments of idols ,"""The graven images of their gods you are to burn with fire; you shall not covet the silver or the gold that is on them, nor take it for yourselves, or you will be snared by it, for it is an abomination to the LORD your God."
DEU 7:2,Do not make a covenant with idolaters ,"and when the LORD your God delivers them before you and you defeat them, then you shall utterly destroy them. You shall make no covenant with them and show no favor to them."
DEU 7:2,Do not show favor to idolaters ,"and when the LORD your God delivers them before you and you defeat them, then you shall utterly destroy them. You shall make no covenant with them and show no favor to them."
EXO 23:33,Do not let idolaters dwell in the Land of Israel ,"""They shall not live in your land, because they will make you sin against Me; for if you serve their gods, it will surely be a snare to you."""
LEV 20:23,Do not imitate idolaters in customs and clothing ,"'Moreover, you shall not follow the customs of the nation which I will drive out before you, for they did all these things, and therefore I have abhorred them."
LEV 19:26,Do not be superstitious ,"You shall not eat anything with the blood, nor practice divination or soothsaying."
DEU 18:10,"Do not go into a trance to foresee events, etc","""There shall not be found among you anyone who makes his son or his daughter pass through the fire, one who uses divination, one who practices witchcraft, or one who interprets omens, or a sorcerer,"
LEV 19:26,Do not engage in astrology ,"You shall not eat anything with the blood, nor practice divination or soothsaying."
DEU 18:11,Do not mutter incantations ,"or one who casts a spell, or a medium, or a spiritist, or one who calls up the dead."
DEU 18:11,Do not attempt to contact the dead ,"or one who casts a spell, or a medium, or a spiritist, or one who calls up the dead."
DEU 18:11,Do not consult ghosts or spirits,"or one who casts a spell, or a medium, or a spiritist, or one who calls up the dead."
DEU 18:11,Do not consult magicians or wizards,"or one who casts a spell, or a medium, or a spiritist, or one who calls up the dead."
DEU 18:10,Do not perform acts of magic ,"""There shall not be found among you anyone who makes his son or his daughter pass through the fire, one who uses divination, one who practices witchcraft, or one who interprets omens, or a sorcerer,"
LEV 19:27,Men must not shave the hair off the sides of their head ,'You shall not round off the side-growth of your heads nor harm the edges of your beard.
LEV 19:27,Men must not shave their beards with a razor ,'You shall not round off the side-growth of your heads nor harm the edges of your beard.
DEU 22:5,Men must not wear women's clothing ,"""A woman shall not wear man's clothing, nor shall a man put on a woman's clothing; for whoever does these things is an abomination to the LORD your God."
DEU 22:5,Women must not wear men's clothing ,"""A woman shall not wear man's clothing, nor shall a man put on a woman's clothing; for whoever does these things is an abomination to the LORD your God."
LEV 19:28,Do not tattoo the skin ,'You shall not make any cuts in your body for the dead nor make any tattoo marks on yourselves: I am the LORD.
DEU 14:1,Do not tear or cut the skin in mourning ,"""You are the sons of the LORD your God; you shall not cut yourselves nor shave your forehead for the sake of the dead."
DEU 14:1,Do not make a bald spot in mourning ,"""You are the sons of the LORD your God; you shall not cut yourselves nor shave your forehead for the sake of the dead."
NUM 5:7,Repent and confess wrongdoings ,"then he shall confess his sins which he has committed, and he shall make restitution in full for his wrong and add to it one-fifth of it, and give it to him whom he has wronged."
DEU 6:7,Recite the Shema twice daily ,"""You shall teach them diligently to your sons and shall talk of them when you sit in your house and when you walk by the way and when you lie down and when you rise up."
EXO 23:25,Serve the Almighty [traditionally: with daily prayer] ,"""But you shall serve the LORD your God, and He will bless your bread and your water; and I will remove sickness from your midst."
NUM 6:23,The priests must bless the Israelite nation daily ,"""Speak to Aaron and to his sons, saying, 'Thus you shall bless the sons of Israel. You shall say to them:"
DEU 6:8,Wear tefillin (phylacteries) on the head ,"""You shall bind them as a sign on your hand and they shall be as frontals on your forehead."
DEU 6:8,Bind tefillin on the arm ,"""You shall bind them as a sign on your hand and they shall be as frontals on your forehead."
DEU 6:9,Put the commandments on each door post ,"""You shall write them on the doorposts of your house and on your gates."
DEU 31:19,Each male must write a scroll of the Law,"""Now therefore, write this song for yourselves, and teach it to the sons of Israel; put it on their lips, so that this song may be a witness for Me against the sons of Israel."
DEU 17:18,The king must have a separate book of the Law for himself ,"""Now it shall come about when he sits on the throne of his kingdom, he shall write for himself a copy of this law on a scroll in the presence of the Levitical priests."
NUM 15:38,Have tzitzit on four-cornered garments ,"""Speak to the sons of Israel, and tell them that they shall make for themselves tassels on the corners of their garments throughout their generations, and that they shall put on the tassel of each corner a cord of blue."
DEU 8:10,Bless the Almighty after eating ,"""When you have eaten and are satisfied, you shall bless the LORD your God for the good land which He has given you."
LEV 12:3,Circumcise all males on the eighth day after their birth ,'On the eighth day the flesh of his foreskin shall be circumcised.
EXO 23:12,Rest on the seventh day Sabbath,"""Six days you are to do your work, but on the seventh day you shall cease from labor so that your ox and your donkey may rest, and the son of your female slave, as well as your stranger, may refresh themselves."
EXO 20:10,Do not do prohibited labor on the seventh day Sabbath,"but the seventh day is a sabbath of the LORD your God; in it you shall not do any work, you or your son or your daughter, your male or your female servant or your cattle or your sojourner who stays with you."
EXO 35:3,The court must not inflict punishment on the Sabbath,"""You shall not kindle a fire in any of your dwellings on the sabbath day."""
EXO 16:29,Do not walk outside the city boundary on the Sabbath,"""See, the LORD has given you the sabbath; therefore He gives you bread for two days on the sixth day. Remain every man in his place; let no man go out of his place on the seventh day."""
EXO 20:8,Sanctify the Sabbath (in speech) from beginning to end,"""Remember the sabbath day, to keep it holy."
LEV 23:32,Do not do prohibited labor on the Day of Atonement,"""It is to be a sabbath of complete rest to you, and you shall humble your souls; on the ninth of the month at evening, from evening until evening you shall keep your sabbath."""
LEV 23:32,Rest from prohibited labor on the Day of Atonement,"""It is to be a sabbath of complete rest to you, and you shall humble your souls; on the ninth of the month at evening, from evening until evening you shall keep your sabbath."""
LEV 16:29,Afflict yourself on the Day of Atonement,"""This shall be a permanent statute for you: in the seventh month, on the tenth day of the month, you shall humble your souls and not do any work, whether the native, or the alien who sojourns among you;"
LEV 23:29,Do not eat or drink on the Day of Atonement,"""If there is any person who will not humble himself on this same day, he shall be cut off from his people."
LEV 23:7,Rest on the first day of Passover,'On the first day you shall have a holy convocation; you shall not do any laborious work.
LEV 23:7,Do not do prohibited labor on the first day of Passover ,'On the first day you shall have a holy convocation; you shall not do any laborious work.
LEV 23:8,Rest on the seventh day of Passover,"'But for seven days you shall present an offering by fire to the LORD. On the seventh day is a holy convocation; you shall not do any laborious work.'"""
LEV 23:8,Do not do prohibited labor on the seventh day of Passover ,"'But for seven days you shall present an offering by fire to the LORD. On the seventh day is a holy convocation; you shall not do any laborious work.'"""
LEV 23:21,Rest on the Feast of Weeks,'On this same day you shall make a proclamation as well; you are to have a holy convocation. You shall do no laborious work. It is to be a perpetual statute in all your dwelling places throughout your generations.
LEV 23:21,Do not do prohibited labor on the Feast of Weeks ,'On this same day you shall make a proclamation as well; you are to have a holy convocation. You shall do no laborious work. It is to be a perpetual statute in all your dwelling places throughout your generations.
LEV 23:24,Rest on the Feast of Trumpets,"""Speak to the sons of Israel, saying, 'In the seventh month on the first of the month you shall have a rest, a reminder by blowing of trumpets, a holy convocation."
LEV 23:25,Do not do prohibited labor on the Feast of Trumpets,"'You shall not do any laborious work, but you shall present an offering by fire to the LORD.'"""
LEV 23:35,Rest on the Feast of Tabernacles,'On the first day is a holy convocation; you shall do no laborious work of any kind.
LEV 23:35,Do not do prohibited labor on the first day of the Feast of Tabernacles ,'On the first day is a holy convocation; you shall do no laborious work of any kind.
LEV 23:36,Rest on the eighth day of the Feast of Tabernacles,'For seven days you shall present an offering by fire to the LORD. On the eighth day you shall have a holy convocation and present an offering by fire to the LORD; it is an assembly. You shall do no laborious work.
LEV 23:36,Do not do prohibited labor on the last day of the Feast of Tabernacles,'For seven days you shall present an offering by fire to the LORD. On the eighth day you shall have a holy convocation and present an offering by fire to the LORD; it is an assembly. You shall do no laborious work.
DEU 16:3,Do not eat leavened food on the afternoon of the 14th day of Nisan,"""You shall not eat leavened bread with it; seven days you shall eat with it unleavened bread, the bread of affliction (for you came out of the land of Egypt in haste), so that you may remember all the days of your life the day when you came out of the land of Egypt."
EXO 12:15,Destroy all leaven on 14th day of Nisan ,"'Seven days you shall eat unleavened bread, but on the first day you shall remove leaven from your houses; for whoever eats anything leavened from the first day until the seventh day, that person shall be cut off from Israel."
EXO 13:3,Do not eat leaven all seven days of Passover,"Moses said to the people, ""Remember this day in which you went out from Egypt, from the house of slavery; for by a powerful hand the LORD brought you out from this place. And nothing leavened shall be eaten."
EXO 12:20,Do not eat mixtures containing leaven all seven days of Passover ,"'You shall not eat anything leavened; in all your dwellings you shall eat unleavened bread.'"""
EXO 13:7,Do not see leaven in your domain seven days during Passover ,"""Unleavened bread shall be eaten throughout the seven days; and nothing leavened shall be seen among you, nor shall any leaven be seen among you in all your borders."
EXO 12:19,Do not find leaven in your domain seven days during Passover ,"Seven days there shall be no leaven found in your houses; for whoever eats what is leavened, that person shall be cut off from the congregation of Israel, whether he is an alien or a native of the land."
EXO 12:18,Eat unleavened bread on the first night of Passover ,"In the first month, on the fourteenth day of the month at evening, you shall eat unleavened bread, until the twenty-first day of the month at evening."
EXO 13:8,Relate the Exodus from Egypt on the fIrst night Passover ,"""You shall tell your son on that day, saying, 'It is because of what the LORD did for me when I came out of Egypt.'"
NUM 29:1,Hear the ram's horn on the Feast of Trumpets ,"'Now in the seventh month, on the first day of the month, you shall also have a holy convocation; you shall do no laborious work. It will be to you a day for blowing trumpets."
LEV 23:42,Dwell in a temporary shelter for the seven days of the Feast of Tabernacles,"'You shall live in booths for seven days; all the native-born in Israel shall live in booths,"
LEV 23:40,Take up a Lulav and Etrog all seven days of the Feast of Tabernacles ,"'Now on the first day you shall take for yourselves the foliage of beautiful trees, palm branches and boughs of leafy trees and willows of the brook, and you shall rejoice before the LORD your God for seven days."
EXO 30:13,Each male Israelite must give a half shekel annually ,"""This is what everyone who is numbered shall give: half a shekel according to the shekel of the sanctuary (the shekel is twenty gerahs), half a shekel as a contribution to the LORD."
EXO 12:2,The month of Passover (Nisan) shall be the first month,"""This month shall be the beginning of months for you; it is to be the first month of the year to you."
NUM 10:9,Sound the ram's horn when going to war,"""When you go to war in your land against the adversary who attacks you, then you shall sound an alarm with the trumpets, that you may be remembered before the LORD your God, and be saved from your enemies."
DEU 22:13,Marry a wife by means of a marriage agreement and sanctification,"""If any man takes a wife and goes in to her and then turns against her,"
DEU 23:18,Do not have sexual relations with women not married by means of a marriage agreement and sanctification,"""You shall not bring the hire of a harlot or the wages of a dog into the house of the LORD your God for any votive offering, for both of these are an abomination to the LORD your God."
EXO 21:10,"Do not withhold food, clothing, and sexual relations from your wife ","""If he takes to himself another woman, he may not reduce her food, her clothing, or her conjugal rights."
GEN 1:28,Have children with one's wife ,"God blessed them; and God said to them, ""Be fruitful and multiply, and fill the earth, and subdue it; and rule over the fish of the sea and over the birds of the sky and over every living thing that moves on the earth."""
DEU 24:1,"Issue a divorce by means of a ""get"" document","""When a man takes a wife and marries her, and it happens that she finds no favor in his eyes because he has found some indecency in her, and he writes her a certificate of divorce and puts it in her hand and sends her out from his house,"
DEU 24:4,A man must not remarry his ex-wife after she has married someone else,"then her former husband who sent her away is not allowed to take her again to be his wife, since she has been defiled; for that is an abomination before the LORD, and you shall not bring sin on the land which the LORD your God gives you as an inheritance."
DEU 25:5,A man must marry the widow of his childless brother,"""When brothers live together and one of them dies and has no son, the wife of the deceased shall not be married outside the family to a strange man. Her husband's brother shall go in to her and take her to himself as wife and perform the duty of a husband's brother to her."
DEU 25:9,A man must free the widow of his childless brother from the obligation to marry him if he is unwilling to marry her,"then his brother's wife shall come to him in the sight of the elders, and pull his sandal off his foot and spit in his face; and she shall declare, 'Thus it is done to the man who does not build up his brother's house.'"
DEU 25:5,A childless widow must not remarry until the ties with her brother-in-law are removed,"""When brothers live together and one of them dies and has no son, the wife of the deceased shall not be married outside the family to a strange man. Her husband's brother shall go in to her and take her to himself as wife and perform the duty of a husband's brother to her."
EXO 22:16,The court must fine one who sexually seduces a maiden ,"""If a man seduces a virgin who is not engaged, and lies with her, he must pay a dowry for her to be his wife."
DEU 22:29,One who seduces a maiden must marry the maiden if she chooses,"then the man who lay with her shall give to the girl's father fifty shekels of silver, and she shall become his wife because he has violated her; he cannot divorce her all his days."
DEU 22:29,A seducer that marries the maiden he seduces must not divorce her,"then the man who lay with her shall give to the girl's father fifty shekels of silver, and she shall become his wife because he has violated her; he cannot divorce her all his days."
DEU 22:19,A man who slanders his wife with accusations of adultery must remain married to his wife,"and they shall fine him a hundred shekels of silver and give it to the girl's father, because he publicly defamed a virgin of Israel. And she shall remain his wife; he cannot divorce her all his days."
DEU 22:19,A man who slanders his wife with accusations of adultery must not divorce her,"and they shall fine him a hundred shekels of silver and give it to the girl's father, because he publicly defamed a virgin of Israel. And she shall remain his wife; he cannot divorce her all his days."
NUM 5:30,Fulfill the laws of the woman suspected of adultery,"or when a spirit of jealousy comes over a man and he is jealous of his wife, he shall then make the woman stand before the LORD, and the priest shall apply all this law to her."
NUM 5:15,Do not put oil on the meal offering of a woman suspected of adultery,"the man shall then bring his wife to the priest, and shall bring as an offering for her one-tenth of an ephah of barley meal; he shall not pour oil on it nor put frankincense on it, for it is a grain offering of jealousy, a grain offering of memorial, a reminder of iniquity."
NUM 5:15,Do not put frankincense on the meal offering of a woman suspected of adultery,"the man shall then bring his wife to the priest, and shall bring as an offering for her one-tenth of an ephah of barley meal; he shall not pour oil on it nor put frankincense on it, for it is a grain offering of jealousy, a grain offering of memorial, a reminder of iniquity."
LEV 18:7,Do not have sexual relations with your mother ,"'You shall not uncover the nakedness of your father, that is, the nakedness of your mother. She is your mother; you are not to uncover her nakedness."
LEV 18:8,Do not have sexual relations with your father's wife ,'You shall not uncover the nakedness of your father's wife; it is your father's nakedness.
LEV 18:9,Do not have sexual relations with your sister ,"The nakedness of your sister, either your father's daughter or your mother's daughter, whether born at home or born outside, their nakedness you shall not uncover."
LEV 18:11,Do not have sexual relations with your father's wife's daughter ,"'The nakedness of your father's wife's daughter, born to your father, she is your sister, you shall not uncover her nakedness."
LEV 18:10,Do not have sexual relations with your son's daughter ,"'The nakedness of your son's daughter or your daughter's daughter, their nakedness you shall not uncover; for their nakedness is yours."
LEV 18:6,Do not have sexual relations with your daughter ,'None of you shall approach any blood relative of his to uncover nakedness; I am the LORD.
LEV 18:10,Do not have sexual relations with your daughter's daughter ,"'The nakedness of your son's daughter or your daughter's daughter, their nakedness you shall not uncover; for their nakedness is yours."
LEV 18:17,Do not have sexual relations with a woman and her daughter ,"'You shall not uncover the nakedness of a woman and of her daughter, nor shall you take her son's daughter or her daughter's daughter, to uncover her nakedness; they are blood relatives. It is lewdness."
LEV 18:17,Do not have sexual relations with a woman and her son's daughter ,"'You shall not uncover the nakedness of a woman and of her daughter, nor shall you take her son's daughter or her daughter's daughter, to uncover her nakedness; they are blood relatives. It is lewdness."
LEV 18:17,Do not have sexual relations with a woman and her daughter's daughter ,"'You shall not uncover the nakedness of a woman and of her daughter, nor shall you take her son's daughter or her daughter's daughter, to uncover her nakedness; they are blood relatives. It is lewdness."
LEV 18:12,Do not have sexual relations with your father's sister ,'You shall not uncover the nakedness of your father's sister; she is your father's blood relative.
LEV 18:13,Do not have sexual relations with your mother's sister ,"'You shall not uncover the nakedness of your mother's sister, for she is your mother's blood relative."
LEV 18:14,Do not have sexual relations with your father's brother's wife ,"'You shall not uncover the nakedness of your father's brother; you shall not approach his wife, she is your aunt."
LEV 18:15,Do not have sexual relations with your son's wife ,"'You shall not uncover the nakedness of your daughter-in-law; she is your son's wife, you shall not uncover her nakedness."
LEV 18:16,Do not have sexual relations with your brother's wife ,'You shall not uncover the nakedness of your brother's wife; it is your brother's nakedness.
LEV 18:18,Do not have sexual relations with your wife's sister ,"'You shall not marry a woman in addition to her sister as a rival while she is alive, to uncover her nakedness."
LEV 18:23,A man must not have sexual relations with an animal ,"'Also you shall not have intercourse with any animal to be defiled with it, nor shall any woman stand before an animal to mate with it; it is a perversion."
LEV 18:23,A woman must not have sexual relations with an animal ,"'Also you shall not have intercourse with any animal to be defiled with it, nor shall any woman stand before an animal to mate with it; it is a perversion."
LEV 18:22,Do not have homosexual sexual relations ,'You shall not lie with a male as one lies with a female; it is an abomination.
LEV 18:7,Do not have homosexual sexual relations with your father ,"'You shall not uncover the nakedness of your father, that is, the nakedness of your mother. She is your mother; you are not to uncover her nakedness."
LEV 18:14,Do not have homosexual sexual relations with your father's brother ,"'You shall not uncover the nakedness of your father's brother; you shall not approach his wife, she is your aunt."
LEV 18:20,Do not have sexual relations with someone else's wife ,"'You shall not have intercourse with your neighbor's wife, to be defiled with her."
LEV 18:19,Do not have sexual relations with a menstrually impure woman ,'Also you shall not approach a woman to uncover her nakedness during her menstrual impurity.
DEU 7:3,Do not marry those who are not members of the Covenant,"""Furthermore, you shall not intermarry with them; you shall not give your daughters to their sons, nor shall you take their daughters for your sons."
DEU 23:4,Do not let Moabite and Ammonite males marry into the Covenant people ,"because they did not meet you with food and water on the way when you came out of Egypt, and because they hired against you Balaam the son of Beor from Pethor of Mesopotamia, to curse you."
DEU 23:7,Do not prevent a third-generation Egyptian convert from marrying into the Covenant people ,"""You shall not detest an Edomite, for he is your brother; you shall not detest an Egyptian, because you were an alien in his land."
DEU 23:7,Do not refrain from marrying a third generation Edomite convert ,"""You shall not detest an Edomite, for he is your brother; you shall not detest an Egyptian, because you were an alien in his land."
DEU 23:3,Do not let a child born due to an illegal relationship marry into the Covenant people ,"""No Ammonite or Moabite shall enter the assembly of the LORD; none of their descendants, even to the tenth generation, shall ever enter the assembly of the LORD,"
DEU 23:1,Do not let a eunuch marry into the Covenant people ,"""No one who is emasculated or has his male organ cut off shall enter the assembly of the LORD."
LEV 22:24,Do not offer to G-d any castrated male animals ,"Also anything with its testicles bruised or crushed or torn or cut, you shall not offer to the LORD, or sacrifice in your land,"
LEV 21:14,The high priest must not marry a widow ,"'A widow, or a divorced woman, or one who is profaned by harlotry, these he may not take; but rather he is to marry a virgin of his own people,"
LEV 21:15,The high priest must not have sexual relations with a widow even outside of marriage ,"so that he will not profane his offspring among his people; for I am the LORD who sanctifies him.'"""
LEV 21:13,The high priest must marry a virgin maiden ,'He shall take a wife in her virginity.
LEV 21:7,A priest must not marry a divorcee ,"'They shall not take a woman who is profaned by harlotry, nor shall they take a woman divorced from her husband; for he is holy to his God."
LEV 21:7,A priest must not marry a woman who has had a forbidden sexual relationship,"'They shall not take a woman who is profaned by harlotry, nor shall they take a woman divorced from her husband; for he is holy to his God."
LEV 21:7,A priest must not marry a desecrated woman,"'They shall not take a woman who is profaned by harlotry, nor shall they take a woman divorced from her husband; for he is holy to his God."
LEV 18:6,Do not make pleasurable (sexual) contact with any forbidden woman ,'None of you shall approach any blood relative of his to uncover nakedness; I am the LORD.
LEV 11:2,Examine the signs of animals to distinguish between those which are kosher and non-kosher,"""Speak to the sons of Israel, saying, 'These are the creatures which you may eat from all the animals that are on the earth."
DEU 14:11,Examine the signs of fowl to distinguish between those which are kosher and non-kosher,"""You may eat any clean bird."
LEV 11:9,Examine the signs of fish to distinguish between those which are kosher and non-kosher,"'These you may eat, whatever is in the water: all that have fins and scales, those in the water, in the seas or in the rivers, you may eat."
LEV 11:21,Examine the signs of insects to distinguish between those which are kosher and non-kosher,Yet these you may eat among all the winged insects which walk on all fours: those which have above their feet jointed legs with which to jump on the earth.
LEV 11:4,Do not eat non-kosher animals ,"'Nevertheless, you are not to eat of these, among those which chew the cud, or among those which divide the hoof: the camel, for though it chews cud, it does not divide the hoof, it is unclean to you."
LEV 11:13,Do not eat non-kosher fowl ,"'These, moreover, you shall detest among the birds; they are abhorrent, not to be eaten: the eagle and the vulture and the buzzard,"
LEV 11:11,Do not eat non-kosher fish ,"and they shall be abhorrent to you; you may not eat of their flesh, and their carcasses you shall detest."
DEU 14:19,Do not eat non-kosher flying insects ,"""And all the teeming life with wings are unclean to you; they shall not be eaten."
LEV 11:41,Do not eat non-kosher creatures that crawl on land ,"'Now every swarming thing that swarms on the earth is detestable, not to be eaten."
LEV 11:44,Do not eat non-kosher vermin ,"'For I am the LORD your God. Consecrate yourselves therefore, and be holy, for I am holy. And you shall not make yourselves unclean with any of the swarming things that swarm on the earth."
LEV 11:42,Do not eat worms found in fruit on the ground ,"Whatever crawls on its belly, and whatever walks on all fours, whatever has many feet, in respect to every swarming thing that swarms on the earth, you shall not eat them, for they are detestable."
