in~ ORIGIN,he~ did~ SHAPE(Verb),Elohiym,AT,the~ SKY ~s2,and~ AT,the~ LAND
and~ the~ LAND,she~ did~ EXIST(Verb),CONFUSION,and~ UNFILLED,and~ DARKNESS,UPON,FACE ~s,DEEP.WATER,and~ WIND,Elohiym,much~ FLUTTER(Verb) ~ing(fs),UPON,FACE ~s,the~ WATER ~s2
and~ he~ will~ SAY(Verb),Elohiym,he~ will~ EXIST(Verb),LIGHT,and~ he~ will~ EXIST(Verb),LIGHT
and~ he~ will~ SEE(Verb),Elohiym,AT,the~ LIGHT,GIVEN.THAT,FUNCTIONAL,and~ he~ will~ make~ SEPARATE(Verb),Elohiym,BETWEEN,the~ LIGHT,and~ BETWEEN,the~ DARKNESS
and~ he~ will~ CALL.OUT(Verb),Elohiym,to~ LIGHT,DAY,and~ to~ DARKNESS,he~ did~ CALL.OUT(Verb),NIGHT,and~ he~ will~ EXIST(Verb),EVENING,and~ he~ will~ EXIST(Verb),MORNING,DAY,UNIT
and~ he~ will~ SAY(Verb),Elohiym,he~ will~ EXIST(Verb),SHEET,in~ MIDST,the~ WATER ~s2,and~ he~ will~ EXIST(Verb),make~ SEPARATE(Verb) ~ing(ms),BETWEEN,WATER ~s2,to~ WATER ~s2
and~ he~ will~ DO(Verb),Elohiym,AT,the~ SHEET,and~ he~ will~ make~ SEPARATE(Verb),BETWEEN,the~ WATER ~s2,WHICH,from~ UNDER,to~ SHEET,and~ BETWEEN,the~ WATER ~s2,WHICH,from~ UPON,to~ SHEET,and~ he~ will~ EXIST(Verb),SO
and~ he~ will~ CALL.OUT(Verb),Elohiym,to~ SHEET,SKY ~s2,and~ he~ will~ EXIST(Verb),EVENING,and~ he~ will~ EXIST(Verb),MORNING,DAY,SECOND
and~ he~ will~ SAY(Verb),Elohiym,he~ will~ be~ BOUND.UP(Verb),the~ WATER ~s2,from~ UNDER,the~ SKY ~s2,TO,AREA,UNIT,and~ she~ be~ SEE(Verb),the~ DRY.GROUND,and~ he~ will~ EXIST(Verb),SO
and~ he~ will~ CALL.OUT(Verb),Elohiym,to~ DRY.GROUND,LAND,and~ to~ COLLECTION,the~ WATER ~s2,he~ did~ CALL.OUT(Verb),SEA ~s,and~ he~ will~ SEE(Verb),Elohiym,GIVEN.THAT,FUNCTIONAL
and~ he~ will~ SAY(Verb),Elohiym,she~ will~ make~ SPROUT(Verb),the~ LAND,GRASS,HERB,make~ SOW(Verb) ~ing(ms),SEED,TREE,PRODUCE,DO(Verb) ~ing(ms),PRODUCE,to~ KIND ~him,WHICH,SEED ~him,in~ ~him,UPON,the~ LAND,and~ he~ will~ EXIST(Verb),SO
and~ she~ will~ make~ GO.OUT(Verb),the~ LAND,GRASS,HERB,make~ SOW(Verb) ~ing(ms),SEED,to~ KIND ~him,and~ TREE,DO(Verb) ~ing(ms),PRODUCE,WHICH,SEED ~him,in~ ~him,to~ KIND ~him,and~ he~ will~ SEE(Verb),Elohiym,GIVEN.THAT,FUNCTIONAL
and~ he~ will~ EXIST(Verb),EVENING,and~ he~ will~ EXIST(Verb),MORNING,DAY,THIRD
and~ he~ will~ SAY(Verb),Elohiym,he~ will~ EXIST(Verb),LUMINARY ~s,in~ SHEET,the~ SKY ~s2,to~ >~ make~ SEPARATE(Verb),BETWEEN,the~ DAY,and~ BETWEEN,the~ NIGHT,and~ they~ did~ EXIST(Verb),to~ SIGN ~s,and~ to~ APPOINTED ~s,and~ to~ DAY ~s,and~ YEAR ~s
and~ they~ did~ EXIST(Verb),to~ LUMINARY ~s,in~ SHEET,the~ SKY ~s2,to~ >~ make~ LIGHT(Verb),UPON,the~ LAND,and~ he~ will~ EXIST(Verb),SO
and~ he~ will~ DO(Verb),Elohiym,AT,TWO,the~ LUMINARY ~s,the~ GREAT ~s,AT,the~ LUMINARY,the~ GREAT,to~ REGULATION,the~ DAY,and~ AT,the~ LUMINARY,the~ SMALL,to~ REGULATION,the~ NIGHT,and~ AT,the~ STAR ~s
and~ he~ will~ GIVE(Verb),AT ~them(m),Elohiym,in~ SHEET,the~ SKY ~s2,to~ >~ make~ LIGHT(Verb),UPON,the~ LAND
and~ to~ >~ REGULATE(Verb),in~ the~ DAY,and~ in~ NIGHT,and~ to~ >~ make~ SEPARATE(Verb),BETWEEN,the~ LIGHT,and~ BETWEEN,the~ DARKNESS,and~ he~ will~ SEE(Verb),Elohiym,GIVEN.THAT,FUNCTIONAL
and~ he~ will~ EXIST(Verb),EVENING,and~ he~ will~ EXIST(Verb),MORNING,DAY,FOURTH
